0,1,2,3,4
143002,156701,153748,152713,149599
153115,149691,153924,152690,149701
145088,151081,153942,145528,144369
152946,145959,153943,165926,151503
154519,144371,,141988,146866
152441,144374,,150181,146700
144068,144389,,148019,150441
146108,149779,,150372,149274
152120,153470,,147187,149501
152540,142550,,147186,153899
145651,146583,,147185,153900
145448,150281,,146526,153815
144828,154303,,148859,147980
154102,152180,,150373,152799
144817,146644,,148381,142508
144893,143569,,145152,152819
144818,150361,,145148,167349
144831,143914,,145151,150102
144891,152642,,146369,146719
144832,154203,,160301,142328
144890,152140,,150601,153829
144892,144373,,150920,153165
151457,152139,,150600,149684
146043,144375,,144494,152950
144897,144468,,144495,176436
142319,144488,,143420,143068
145214,146383,,143288,154099
145215,153471,,151440,143571
143035,149024,,145157,146824
151859,149023,,149980,146825
168372,149041,,166061,169245
152239,150844,,152902,142310
146283,146084,,146520,157925
153683,154399,,174181,152486
150171,148980,,153319,152519
150219,151022,,153320,152520
142315,153140,,148383,143629
150203,147189,,143870,153917
144610,154428,,142553,144248
150204,153019,,153686,153806
152587,151324,,152197,147119
142652,144349,,149810,147121
142651,152602,,142857,144948
152125,143431,,148784,154622
152105,153531,,148783,154306
143572,152505,,152539,154307
143249,152480,,153719,152622
153479,154006,,152498,154304
153459,154005,,153839,152242
170606,154004,,147319,152279
170607,146085,,154059,152241
170626,144294,,149440,149806
149979,153804,,174184,154224
150021,153286,,146875,152623
143788,149325,,146874,153726
152700,152926,,147200,146399
144928,153285,,147039,148201
165929,153732,,148839,148202
146460,154003,,148779,142428
146425,152141,,148761,150381
146424,151639,,148780,153986
146423,145268,,147900,153911
149580,148004,,153385,150322
150580,142535,,150170,153701
146941,152549,,174224,142049
148860,142343,,143729,173639
142228,143030,,148819,173822
147365,151223,,146519,153747
150379,152909,,150221,152601
151879,150167,,146580,153921
153390,150199,,151445,142320
149840,152581,,145472,157888
149841,153346,,145471,144368
147226,142434,,152291,146840
152698,149482,,151922,160787
147844,153802,,151181,156042
149642,146862,,151456,173829
152707,154501,,150240,171916
152711,151519,,144110,146099
152043,152881,,157124,166952
152366,149839,,148160,153940
148000,143031,,149813,155978
153520,153762,,143929,147466
147960,152159,,149941,147467
144291,147240,,146240,153939
151179,147241,,146219,153522
145153,149267,,153279,166951
152124,149945,,149063,144228
152184,149983,,149161,166989
153879,143048,,174125,152499
153842,144170,,146822,152483
152289,147260,,151455,149629
151259,147259,,146821,142331
152290,151539,,143632,146871
150639,146643,,146823,142321
146420,147223,,142928,174995
148460,153825,,146841,149223
148459,146348,,146220,173044
171805,151501,,150205,173124
143988,151500,,144390,177024
142655,151449,,145212,152586
145868,151162,,146351,152619
146039,152550,,149940,154362
146000,151502,,153901,152772
148479,144169,,175393,142335
144310,146062,,175413,154672
144311,146642,,176033,142068
145708,145852,,153705,145892
152496,152103,,143392,152399
152523,152019,,142828,152362
152497,149283,,146749,160401
148299,152582,,149140,146646
148099,146881,,149486,150168
142869,146826,,142637,152460
152687,146899,,150609,146559
145252,153738,,153466,152104
145135,153710,,144551,147159
145251,149268,,144550,149626
145134,146744,,149624,146501
145329,147840,,149679,142850
145308,154104,,142575,142848
147567,152840,,153902,142849
147559,153222,,150239,143908
154001,150819,,142634,142669
146325,149693,,142668,148760
152249,149692,,150523,142636
150919,149668,,153725,153816
148210,153764,,150610,148080
142528,150443,,143088,146502
142408,150371,,148159,150400
152901,152541,,143109,150401
152922,153379,,145571,146925
146001,149619,,145572,146942
152296,149620,,153467,142995
152219,153826,,145945,147600
166563,145008,,145893,165023
153343,152702,,149443,146872
143042,144293,,151060,153903
150442,151499,,145591,153079
142341,154063,,144568,153081
144270,152708,,149943,152986
147225,149277,,146466,153862
152529,149622,,146499,172872
152282,149254,,143108,152293
144789,149808,,142809,147462
144692,149862,,148553,147461
144790,149699,,148622,149682
147999,149670,,154359,150079
151700,152245,,152284,147706
176899,150611,,152049,147939
152706,153659,,146928,147901
154226,152181,,173580,151784
153124,144528,,153704,147707
144116,143829,,149247,146341
144548,154161,,145894,150461
152367,153985,,147703,146321
152428,142332,,147704,148059
152545,142311,,142574,142333
152426,144348,,145629,146282
152429,152579,,145576,170764
146345,146541,,149621,143036
152427,152442,,144074,168123
152423,148546,,153107,153080
166564,150700,,153141,143508
152361,150613,,145131,146865
152363,145654,,146750,147708
154168,148986,,152906,149262
148620,153765,,152905,149243
150530,150536,,149228,153101
145648,145653,,146867,153167
166565,148987,,149446,147902
151900,152244,,152718,177284
148259,152281,,152743,146385
154060,152645,,152920,151561
151920,150163,,144073,154342
152283,141908,,152760,150641
154062,152722,,152759,143038
145208,149220,,152761,152039
145209,148699,,152696,145942
146372,153296,,152921,149120
146419,147204,,153639,153740
152845,149985,,144071,146468
152504,144513,,153287,153741
152528,153297,,153288,153760
151921,147184,,143089,153861
153925,148379,,150839,150059
146368,148380,,143090,151562
154305,150959,,147779,152686
143951,146247,,146710,151743
144069,149559,,146709,154261
153291,143970,,146869,154424
147979,143912,,153706,154422
152942,153294,,174631,152709
146927,149521,,174684,153221
146926,148079,,146465,153112
149490,163864,,148542,147139
150444,142549,,142270,154423
151039,152600,,145592,152400
151063,153566,,152701,152787
146086,153143,,146421,151682
146087,153469,,146353,146046
146004,152661,,146440,153860
146044,147182,,143268,153602
174645,153180,,146402,153039
174646,146482,,152841,153759
145611,153568,,152880,145249
143428,153570,,151219,145812
146093,147199,,152843,153298
145652,153569,,152842,147566
152440,144509,,154223,143004
153709,149248,,153947,153383
153684,149080,,154344,153122
153803,147959,,144491,144048
153739,153199,,142808,165422
153737,150459,,142872,143488
144748,145901,,143409,172349
153121,153525,,160463,172359
153100,143772,,152782,149984
153293,143771,,152781,149503
153344,143770,,144313,142554
142432,149666,,143174,145248
146101,149667,,176021,151620
154043,152689,,152040,143128
142394,149284,,144172,153201
163782,148721,,148208,153742
153281,148759,,153295,149504
143849,148558,,143570,144210
149226,148660,,143608,143389
151522,147362,,146443,143390
153814,150535,,146444,149800
143971,154124,,153722,149801
153690,154160,,142811,145870
149121,151399,,142810,149719
151400,144650,,144075,149560
169685,153679,,172024,149492
143369,144493,,144029,148923
149025,144372,,152303,152693
149044,149689,,147219,152741
153746,149690,,160406,143449
149519,143810,,147579,143037
149487,142312,,147188,142048
149491,154659,,148548,146052
149447,152924,,148599,143448
146068,153982,,158646,153913
149485,141934,,158647,149251
148547,146943,,158664,146088
149484,146711,,151641,152692
149641,146760,,151640,146739
155039,146712,,145966,146259
153681,146761,,158648,149502
148940,146742,,146507,154981
149062,148501,,146508,155001
146505,148659,,146521,155002
146483,149665,,144388,142994
153922,149687,,143911,154539
147227,149683,,145871,153946
147229,144409,,145896,155003
147228,153282,,145895,142989
152503,144408,,149322,152714
151720,151279,,145872,152740
152321,151261,,165925,146819
153700,149379,,148724,148243
142650,151923,,148740,152300
152745,151939,,149088,152301
152767,153464,,148739,169244
153341,152183,,150841,150859
153473,153685,,152299,152952
153599,145574,,153349,152951
150024,146089,,149276,173703
145310,153465,,149285,173767
153928,149499,,148384,173827
153999,152419,,147580,150659
144028,146053,,165927,148222
142658,152904,,172305,148943
146060,145048,,150840,150532
149879,148742,,143171,143468
174842,149225,,143149,143419
145488,151419,,142368,147221
158383,146250,,149259,146999
142568,149324,,149224,147279
148319,153106,,149627,151783
147739,151142,,154179,152319
152374,145690,,154806,146091
152373,153166,,148621,153812
147842,149005,,148226,153813
147843,145960,,148209,143053
147903,153105,,148227,143051
147261,152953,,148863,174484
147709,145348,,165969,174485
154061,145368,,158726,146063
150019,144691,,144769,143450
149944,142393,,165924,153682
146360,143809,,144729,145392
153601,147420,,146367,158659
152801,147439,,146352,153905
153384,165382,,148420,153908
153916,146503,,158801,146040
148003,154660,,146701,149630
152101,153560,,144820,150939
152119,152910,,144768,146649
151520,146506,,154443,146650
142348,150842,,154480,146648
145389,147440,,154479,146647
145650,146459,,143329,153691
146092,144489,,144788,153779
146142,142529,,152717,146924
166381,152240,,152685,159241
166345,149441,,145612,144516
153808,151739,,150843,145979
153821,153807,,150900,146861
143831,142992,,145668,146860
146140,153915,,145688,145962
146141,143950,,154499,145950
146139,146705,,148119,145168
142288,148220,,146870,153292
142188,152903,,148261,154623
149300,152844,,146561,144174
154221,144519,,152083,146042
154222,149939,,154320,148556
145649,148239,,154103,144549
146143,147341,,154105,146246
152292,150761,,154319,170027
155004,147705,,176589,153819
155049,142170,,149399,143208
149179,149249,,148260,152123
166502,153324,,146097,152047
166242,152783,,149241,152048
157410,144514,,146365,147191
157411,153142,,146350,175395
155005,146524,,159282,176125
149661,148219,,159302,149273
143168,150223,,153339,147202
146746,146181,,149460,147201
151180,147711,,147220,145369
148399,143913,,144771,145350
153822,152959,,143039,145370
144688,152643,,142630,149562
146720,146963,,148140,149561
146707,152900,,154200,153749
153824,146180,,153827,146540
144909,150222,,143331,145408
153811,147340,,150620,145391
147800,152694,,153981,144628
152683,152160,,143429,149252
154483,146525,,149021,145573
152710,143050,,146839,148545
146344,144512,,149809,149695
152705,142088,,146500,150364
153381,152784,,150742,150175
169524,153565,,154106,151681
154484,144814,,143169,145130
148681,152364,,149071,150202
152684,142108,,142873,148979
142248,154040,,151359,159705
145851,153114,,149981,150174
154504,148899,,148550,143230
148300,144813,,148549,148207
143453,147239,,150183,147059
152703,150263,,146464,147679
152193,150740,,153461,148199
152285,147904,,154202,144950
152286,145068,,154201,149899
152196,152302,,146748,153801
152195,154080,,143188,150534
142852,152599,,153912,144749
149020,153721,,142911,152479
150531,149253,,149263,152179
142996,149359,,146061,143033
142997,149240,,143057,142999
152704,144508,,154360,150533
154301,150206,,143391,158704
154300,153559,,151479,152079
154339,149861,,148385,152080
152248,151619,,147401,149814
154279,149481,,148279,149488
151458,147242,,146324,149069
142948,153468,,176016,146051
151742,144168,,146439,146104
151741,143568,,143041,146103
142856,151443,,149323,147499
142988,143630,,153619,147479
144171,153567,,146371,150359
149380,151159,,153720,151239
149381,148561,,146820,146081
150382,149686,,154481,148464
150463,151480,,153386,149068
150602,149221,,154239,161844
150608,142316,,142993,151744
151899,148360,,146370,150519
143648,154640,,154205,150500
144815,147179,,147961,146386
150383,154621,,148386,148539
149159,149740,,143588,150339
147569,150220,,144109,147981
169452,152322,,143348,160975
153059,153322,,142728,148005
146326,152641,,153280,152786
153519,150041,,147000,152803
152941,153351,,151839,152785
143773,152059,,150537,160979
147562,146919,,171987,160786
145510,146879,,177671,149163
147563,146582,,177493,152987
143269,145689,,177513,154502
147564,148390,,,150101
147603,153116,,,150100
143052,152304,,,150120
144552,143828,,,150323
151163,147361,,,147859
174979,152879,,,142313
142548,153526,,,142329
142536,145590,,,155056
147712,143830,,,160023
149759,152947,,,167627
152679,150399,,,157864
152682,152425,,,168556
146714,145709,,,144968
142998,153283,,,172869
143000,144012,,,172878
149696,153299,,,147181
149671,149739,,,150559
153800,152744,,,142633
144271,146002,,,145853
152559,150462,,,150660
146384,153763,,,150605
152688,145848,,,146859
149500,144728,,,143003
152481,148555,,,154639
153405,149662,,,143248
152640,,,,146050
152660,,,,148211
144009,,,,154260
143229,,,,146401
154420,,,,150160
143228,,,,141928
144008,,,,152925
145902,,,,153959
145940,,,,147602
144328,,,,151683
144113,,,,142148
146713,,,,153983
146445,,,,147919
151339,,,,152189
146479,,,,146542
152695,,,,153841
151319,,,,142429
150779,,,,150173
150780,,,,145570
152583,,,,150380
152621,,,,150719
146145,,,,146864
152659,,,,153914
149281,,,,147841
143889,,,,144629
151320,,,,153817
149280,,,,144889
143888,,,,152190
149745,,,,154661
149804,,,,153828
149279,,,,142314
149387,,,,146462
150581,,,,148242
143708,,,,146322
149805,,,,146863
153120,,,,149845
146241,,,,149270
146280,,,,146339
146279,,,,153909
146242,,,,151059
146243,,,,151504
149445,,,,145569
150800,,,,148002
143668,,,,143628
143688,,,,148244
153239,,,,170728
153179,,,,173685
153403,,,,173784
153439,,,,170784
142968,,,,145628
143928,,,,150604
146380,,,,147879
146349,,,,150679
145943,,,,152379
176009,,,,145489
176026,,,,142635
151119,,,,146467
151061,,,,144268
149099,,,,145810
165147,,,,152439
165161,,,,149219
165181,,,,146939
153476,,,,146381
143451,,,,144833
149230,,,,149520
150384,,,,152081
149265,,,,150039
148204,,,,152339
154219,,,,150603
147710,,,,152100
149065,,,,153689
149066,,,,174941
149959,,,,
153533,,,,
152547,,,,
171717,,,,
153707,,,,
151599,,,,
152985,,,,
153562,,,,
144834,,,,
154042,,,,
152297,,,,
152359,,,,
151780,,,,
153481,,,,
171485,,,,
146741,,,,
152839,,,,
152943,,,,
152746,,,,
145890,,,,
150180,,,,
147799,,,,
149664,,,,
142631,,,,
154540,,,,
146722,,,,
153404,,,,
152979,,,,
149286,,,,
170250,,,,
146109,,,,
148439,,,,
174807,,,,
153744,,,,
153745,,,,
143417,,,,
150241,,,,
153350,,,,
143452,,,,
151541,,,,
143430,,,,
151580,,,,
151540,,,,
146842,,,,
143308,,,,
148639,,,,
148551,,,,
146055,,,,
144148,,,,
144115,,,,
144708,,,,
144689,,,,
144690,,,,
143173,,,,
153472,,,,
146366,,,,
142330,,,,
144888,,,,
149439,,,,
144649,,,,
147224,,,,
143001,,,,
144668,,,,
153528,,,,
145888,,,,
143328,,,,
144812,,,,
146090,,,,
144829,,,,
144830,,,,
146054,,,,
149669,,,,
154044,,,,
142888,,,,
145630,,,,
170404,,,,
177413,,,,
146382,,,,
149685,,,,
169707,,,,
146100,,,,
152923,,,,
144114,,,,
169708,,,,
169709,,,,
169710,,,,
152715,,,,
151542,,,,
148039,,,,
149272,,,,
149271,,,,
149384,,,,
146940,,,,
149047,,,,
149231,,,,
151543,,,,
152185,,,,
151560,,,,
151544,,,,
144969,,,,
145588,,,,
149623,,,,
153708,,,,
142854,,,,
149275,,,,
154486,,,,
142448,,,,
149744,,,,
141851,,,,
