0,1,2
143002,156701,165926
145088,149691,168372
145528,153115,167349
144369,149599,170606
144068,152713,170607
146866,152690,170626
146108,149701,165929
146700,152946,176436
145651,151503,166061
145959,154519,169245
145448,152441,171805
144371,151081,174181
144374,152120,166563
144389,152540,174184
144828,150441,173639
141988,149779,176899
144817,154102,173822
144893,149274,174224
144818,151457,166564
144831,150181,166565
144891,153748,173829
144832,153924,171916
144890,153942,166952
144892,151859,166951
146043,149501,166989
144897,153899,174995
142319,153900,174645
145214,153815,174646
145215,152239,173044
143035,153470,173124
146283,153683,177024
142315,150171,174125
144610,150219,163782
142550,150203,169685
146583,150204,175393
142652,152587,175413
142651,150281,176033
147980,152125,165023
143572,152105,172872
143249,152799,174842
142508,153479,170764
148019,152819,168123
146719,154303,166381
147187,150372,166345
147186,153459,177284
147185,150102,166502
143788,149979,166242
142328,150021,169524
146526,152700,173580
144928,152180,169452
146644,148859,165422
143569,150373,172349
146460,150361,172359
146425,153829,174979
146424,153165,176009
146423,160301,176026
148381,149580,174631
145152,150580,174684
145148,152642,165147
145151,148860,165161
146369,149684,165181
143914,154203,163864
146941,152950,171717
142228,152140,169244
144373,153943,173703
147365,150601,173767
147226,150379,173827
144494,151879,171485
144495,150920,170250
147844,153390,174807
143420,150600,176021
143288,149840,174484
144375,149841,174485
144468,152698,170404
144488,149642,177413
146383,152139,169707
143068,152707,169708
148000,152711,169709
147960,151440,169710
145157,152043,170245
144291,153471,172024
145153,152366,163828
146084,149024,170027
143571,149023,175395
146824,149041,176125
146825,154099,165925
146420,153520,171279
148460,149980,171384
146520,152902,169711
148459,150844,165927
142310,151179,172305
143988,152124,165969
142655,152184,165924
145868,153879,174843
146039,153842,173333
146000,152289,165382
148479,151259,173332
144310,154399,174744
148383,152290,166043
143629,150639,175845
144311,148980,161844
145708,151022,176589
144248,157925,174730
143870,152486,163944
148299,153140,165412
142553,152519,167122
148099,152520,166561
142869,153319,166603
145252,153320,163841
145135,153917,166562
145251,152496,166568
145134,152523,167627
145329,152497,169449
145308,152687,175147
147567,153806,175554
147559,153686,166487
147119,152197,166492
147121,154001,168419
144948,149810,168556
146325,152249,169696
142857,150919,169697
147189,154622,171869
148210,154306,166521
142528,154307,172869
142408,154428,172878
148784,152901,173914
148783,152922,174806
146001,152539,170728
143042,152296,173685
144349,153719,173784
143431,153019,174427
147319,152219,174729
146399,152622,176509
146875,151324,174978
146874,154304,175864
142341,152242,176010
144270,153343,176044
148201,152279,176016
148202,152498,170784
147200,153839,176223
147225,152241,176354
142428,149806,171275
147039,154224,171643
148779,152602,171764
148761,152623,171987
148780,153531,174841
144789,153726,174822
144692,150442,174865
144790,154059,177671
147999,149440,177493
142049,152505,177513
147900,152480,174941
144116,150381,stop
144548,148839,
146345,153986,
143729,153911,
148620,150322,
148819,153701,
145648,152529,
148259,152282,
142320,151700,
146085,153385,
146519,152706,
144294,154226,
146580,153124,
144368,150170,
146840,153747,
145208,154006,
145209,152367,
145472,152428,
146372,152545,
145471,152426,
146099,152429,
146419,152427,
146368,152423,
143951,152361,
144069,152363,
147979,152601,
147466,154168,
146927,154005,
147467,154004,
146926,150530,
144110,153921,
144228,151900,
148160,154060,
142331,153804,
146086,151920,
146087,150221,
146004,157888,
146044,152283,
146871,160787,
142321,151445,
145268,156042,
143929,154062,
148004,152845,
146240,152504,
146219,152528,
142535,153286,
142335,149325,
142068,152926,
145611,151921,
143428,152291,
142343,153925,
145892,151922,
146093,151181,
145652,151456,
146646,153940,
146822,154305,
143030,155978,
144748,153291,
146821,152942,
142432,150240,
146101,153285,
142394,153939,
146559,149490,
143849,153732,
147159,154003,
143632,152141,
142434,153522,
146823,150444,
142928,151639,
146501,151039,
146841,151063,
143971,157124,
146220,152499,
146862,152483,
142850,149629,
142848,149813,
142849,149941,
143369,149223,
143908,152586,
142669,152619,
144390,154362,
148760,152772,
142636,154672,
146068,153279,
145212,149063,
146351,152549,
148080,152399,
143031,152362,
146502,152440,
148547,160401,
146925,149161,
146942,153709,
142995,153684,
147240,153803,
147241,153739,
146505,153737,
146483,151223,
147600,151455,
143392,153121,
142828,153100,
146749,153293,
146872,153344,
147227,150168,
147229,152909,
147228,154043,
143048,150167,
144170,150199,
147260,152460,
147259,152581,
142637,153281,
146643,152104,
147223,153346,
142650,149226,
146348,149626,
144551,149482,
144550,151522,
144169,153802,
142575,153814,
147462,154501,
147461,153690,
145310,149121,
146062,151400,
144028,151519,
146642,150205,
145852,149025,
142658,149044,
142634,152881,
146060,153746,
142668,149519,
147706,149839,
147939,149487,
147901,149491,
145488,149447,
142568,153816,
148319,149940,
143088,149485,
147707,150400,
147739,150401,
147842,149484,
147843,149641,
147903,155039,
146341,153681,
147261,153901,
147709,153762,
148159,152159,
146321,148940,
146360,149062,
148059,153922,
142333,153705,
146282,149267,
143109,149945,
145571,149983,
146881,153903,
145572,149140,
146826,153079,
145945,153081,
145893,149486,
146899,151539,
143036,150609,
148003,152503,
142348,152986,
143508,153466,
145389,151720,
145650,153825,
146865,152321,
146744,153862,
147708,153700,
146092,152745,
146142,152767,
147840,152293,
143831,151501,
146140,153341,
146141,151500,
146139,153473,
142288,153599,
142188,151449,
147902,151162,
145591,152550,
145649,149624,
146385,149679,
146143,151502,
144568,150024,
143038,153902,
143168,153928,
146746,153999,
145942,150239,
146466,152103,
146468,152019,
148399,149682,
146499,149283,
144688,150079,
146720,150523,
146707,149879,
145008,151784,
143108,153725,
144293,158383,
142809,150610,
144909,152582,
148553,152374,
148622,152373,
147800,150461,
147139,154061,
146344,150019,
148681,149944,
142248,153601,
145851,153467,
148300,152801,
143453,153738,
146928,153710,
142852,153384,
142996,153916,
142997,152101,
146046,152119,
142948,149268,
142856,153080,
142988,149443,
144171,151520,
145894,149262,
147703,149243,
147704,153808,
143648,153821,
145249,154104,
144815,151060,
145812,153101,
147566,152840,
143004,153167,
144528,149300,
147569,154221,
143829,154222,
144048,151561,
146326,152292,
142574,154342,
143773,153222,
145629,149943,
145576,155004,
147562,155049,
145510,149179,
147563,150819,
143488,150641,
143269,149693,
147564,149692,
147603,149668,
142332,152039,
142311,157410,
144348,157411,
143052,153764,
146541,155005,
144552,149661,
142554,150443,
145248,150371,
142548,149120,
142536,153740,
147712,153741,
148546,153760,
143128,153861,
146714,150059,
142998,151180,
143000,152541,
145654,151562,
144210,153379,
143389,153822,
143390,149619,
144271,149620,
145653,153826,
144074,152686,
146384,151743,
145870,154261,
144009,152702,
143229,154424,
143228,154422,
144008,152709,
145131,151499,
145902,153221,
145940,153824,
146750,153811,
144328,154359,
144113,152683,
146713,154483,
146445,154063,
146479,153112,
146145,152708,
143889,152710,
143888,152705,
146867,154423,
144073,152400,
141908,153381,
143708,154484,
143449,152684,
148699,154504,
143037,152284,
142048,152049,
146052,152787,
146241,152703,
146280,152193,
146279,152285,
146242,152286,
146243,152196,
143448,152195,
144071,151682,
147204,149020,
143668,150531,
146088,152704,
143688,149277,
142968,149622,
146739,149254,
143928,154301,
144513,154300,
146259,154339,
146380,152248,
146349,154279,
143089,151458,
145943,151742,
142994,151741,
147184,153704,
143090,149247,
147779,153860,
148379,149808,
148380,149862,
146710,153602,
146709,149699,
146869,153039,
146247,149670,
143451,153759,
142989,149380,
146465,149381,
148542,150382,
142270,150463,
145592,150602,
148204,152245,
143970,150611,
143912,150608,
146819,151899,
147710,153659,
148243,150383,
148079,153298,
146421,149159,
146353,152181,
146440,153383,
143268,153122,
146402,153059,
142549,153519,
144834,152941,
146741,154161,
145890,153985,
148222,152579,
144491,149984,
147799,149503,
142808,151163,
142631,152442,
142872,149621,
147182,149759,
146722,152679,
143409,152682,
146482,151620,
143468,153201,
143419,153742,
146109,150700,
147221,150613,
148439,149504,
147199,148986,
143417,149696,
146999,149671,
144313,153765,
143174,150536,
147279,153800,
144509,148987,
143452,152559,
143430,149800,
146091,153107,
146842,149801,
143053,153141,
143051,152688,
143308,149500,
148639,152481,
148551,153405,
146055,149719,
144148,149560,
144115,152640,
144708,152660,
144689,149492,
144690,154420,
146063,152244,
147959,152281,
143173,148923,
143450,152906,
145901,152645,
143772,151339,
143771,152695,
143770,152905,
146366,151319,
142330,150779,
145392,150780,
144172,152583,
148208,149228,
144888,152621,
146040,152659,
144649,149281,
147224,151320,
143001,149280,
144668,152693,
145888,152741,
143328,149745,
144812,149804,
146090,149279,
144829,149387,
144830,150581,
146054,149446,
146649,150163,
146650,152718,
146648,152743,
146647,152920,
148721,152760,
148759,152759,
148558,152761,
142888,152696,
143570,152722,
143608,152921,
146924,149220,
145630,149805,
146382,153120,
146100,153639,
144516,149445,
145979,153296,
148660,153287,
146861,153288,
146860,150800,
145962,153913,
145950,149251,
144114,152692,
146443,153239,
147362,153179,
146444,153403,
148039,153439,
146940,149985,
145168,153297,
144174,149502,
144969,154981,
145588,155001,
144650,155002,
142854,150839,
142811,151119,
142810,151061,
142448,149099,
144493,154539,
141851,150959,
144314,153706,
145351,153946,
144075,155003,
144372,153476,
147539,152714,
145577,149230,
146042,150384,
144029,149265,
147520,149559,
147519,152740,
147540,154219,
147219,153294,
148556,149065,
142576,149066,
146179,149521,
143810,152300,
144549,149959,
143748,152301,
146246,153533,
147560,152701,
142312,152547,
147579,153707,
147188,151599,
142656,152841,
148548,152880,
148599,152985,
143769,153562,
143208,154042,
145966,152297,
143768,151219,
146507,150859,
146508,152359,
146521,152952,
144388,152951,
146652,152600,
147191,151780,
142653,153481,
144910,152843,
147202,152842,
147201,152839,
145369,150659,
145350,152943,
145370,152746,
143911,154223,
145871,153947,
145896,154344,
145895,150180,
145872,148943,
146540,153566,
142870,149664,
144077,153143,
147845,153469,
143415,154540,
141934,150532,
143414,152661,
146119,153404,
144070,152979,
146943,149286,
146711,153180,
146760,153568,
146712,153744,
146761,160463,
146742,153745,
147102,153570,
148724,150241,
148740,152782,
148739,152781,
145408,153350,
145391,153569,
148241,151783,
148240,151541,
144628,151580,
148501,152319,
148659,152040,
148384,151540,
143775,153812,
145573,153813,
147580,149248,
142871,149080,
142868,153472,
144409,153199,
143631,150459,
143774,153525,
144408,153682,
141929,158659,
142571,153905,
