RIN,INCIDENT_DATE,LOCATION_DISTRICT,INCIDENT_REASON,REASON_FOR_FORCE,SUBJECT_GENDER,SUBJECT_RACE,SUBJECT_ROLE,SUBJECT_DESCRIPTION,REASON_FOR_FORCE1,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,NUMBER_EC_CYCLES,SUBJECT_INJURY_TYPE,OFFICER_INJURY_TYPE,OFFICER_YEARS_ON_FORCE,Y_COORDINATE,Y_COORDINATE.1,LOCATION_DISTRICT.1,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_LATITUDE,LOCATION_LONGITUDE,Unnamed: 24
156701,2/24/15,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,3100341,10030899,5,0,30.184566,-97.775667,
161046,5/31/15,8,0,0,1,4,0,0,1,0,0,0,0,0,0,0,5,3115535,10070296,9,1,,,
161381,5/31/15,8,0,1,1,4,0,0,2,0,0,0,0,1,0,0,7,3115535,10070296,9,1,,,
142588,1/11/14,9,1,2,1,2,1,1,3,0,0,0,0,0,1,0,4,3117503,10057313,0,2,,,
162084,6/21/15,8,2,3,1,2,0,0,0,0,0,0,0,0,0,0,3,3116713,10067447,3,3,,,
171144,2/8/16,8,2,4,1,5,0,0,4,0,0,0,0,0,2,1,9,3114566,10071118,9,4,,,
143002,1/17/14,8,3,0,1,4,2,0,5,1,0,0,0,1,1,0,4,3115601,10070275,0,5,30.2669,-97.738652,
170384,1/14/16,8,0,0,1,4,0,2,6,0,0,0,0,0,0,2,3,3115403,10070458,9,6,,,
161761,6/13/15,4,0,0,1,2,0,2,0,2,0,0,0,0,0,0,6,3121725,10072956,1,7,,,
172728,3/18/16,8,0,0,1,2,0,0,7,0,0,0,0,0,0,0,8,3115265,10070399,9,8,,,
155401,1/28/15,1,0,0,1,5,0,2,0,3,0,0,0,1,3,0,2,3095541,10142702,6,9,,,
149691,7/18/14,7,2,0,1,4,2,2,0,0,0,0,0,0,0,0,8,3115061,10044935,0,10,30.19693,-97.742096,
153115,11/2/14,8,0,1,1,4,2,0,0,0,0,0,0,0,0,0,10,3115155,10070604,0,11,30.267346,-97.740288,
174929,7/21/16,6,2,0,1,4,0,0,8,0,0,0,0,0,0,0,4,3135340,10128339,7,12,,,
149599,7/12/14,4,0,0,2,2,3,2,1,4,0,0,0,0,1,0,2,3137140,10085508,0,13,30.307201,-97.669664,
145288,3/25/14,8,3,0,1,5,2,0,9,0,0,0,0,0,4,0,6,3115155,10070604,0,14,,,
166125,9/6/15,8,2,1,1,5,0,0,0,2,0,0,0,1,0,0,5,3115363,10070833,9,15,,,
